customer_id,first_name,last_name,gender,customer_age,marital_status,education_level,employment_status,annual_income,credit_score,email,city,state,join_date
1,Aaron,Sanders,Female,30,D,grad,Unemployed,58755.0,445,samantha88@example.com, Graytown ,Alaska,10-06-1980
2,Gregory,French,Other,31,Single,Graduate,jobless,107222.0,511,jonathan25@example.com, PAMELASTAD ,Pennsylvania,2017/12/19
3,Karen,Knight,,44,D,High School,jobless,117276.0,575,awilliams@example.com, Powelltown ,Utah,1994-02-21
4,David,Fischer,,67,,Doctorate,Self-employed,88388.0,655,ysmith@example.org,Port Leslieside,Nevada,2001/06/11
5,Gregory,Mcbride,FEMALE,67,Single,PhD,Self-employed,86565.0,372,danielhamilton@example.com,GALLEGOSHAVEN,Indiana,2003-04-06
6,Matthew,Smith,Male,50,S,PG,Retired,156173.0,601,seandaniel@example.com,Gregorymouth,Vermont,14-07-2011
7,Michael,Reyes,male,54,D,High School,Self-employed,177267.0,751,hstone@example.org,DAVISSHIRE,Delaware,1986-11-22
8,Joshua,Henry,Unknown,52,S,high school,jobless,114284.0,779,james51@example.org,South Scott,Iowa,2007-12-18
9,Sharon,Garcia,,21,S,PG,self employed,86812.0,952,racheldouglas@example.net, NORTH LISABOROUGH ,Alabama,2023-05-25
10,James,Cardenas,FEMALE,37,single,Graduate,,68008.0,302,brooksanna@example.net,Gomezbury,New York,2019-12-19
11,Christine,Baxter,F,78,Single,Graduate,Retired,33401.0,328,veganicholas@example.com,SOUTH ANTHONY,Illinois,09-08-2017
12,Joyce,Munoz,Unknown,53,D,Graduate,Unemployed,86224.0,436,robert14@example.org,Melissahaven,Nevada,2015-12-01
13,Renee,Rogers,,29,Divorced,,Self-employed,152305.0,662,brianlane@example.org,MICHAELVIEW,Mississippi,1992-12-05
14,Patrick,Simpson,F,22,MARRIED,high school,,159577.0,683,morrisonroberto@example.org,Garciaside,Utah,1971-07-07
15,Madison,Morris,F,70,Married,High School,Unemployed,108450.0,342,gabrielle69@example.com,Florestown,Georgia,2008/04/04
16,Brian,Hensley,Male,70,MARRIED,Graduate,Self-employed,133820.0,626,dhoward@example.com,Browntown,Tennessee,2022-06-23
17,Jennifer,Perez,Male,69,,high school,,93396.0,390,ashley79@example.com,East Cynthiaview,Tennessee,2004/02/27
18,Kelly,Powell,male,44,D,PhD,Employed,194154.0,505,martinezrichard@example.com,New Robertshire,Kentucky,2016/07/17
19,Michael,Hill,Other,79,single,Graduate,Retired,146824.0,775,daniel59@example.org,East Tomberg,Utah,1976/12/07
20,Kimberly,Ramirez,male,31,S,PG,Unemployed,145003.0,758,zmccarty@example.com,EAST VINCENT,Kansas,1979-05-02
21,April,Smith,Male,63,MARRIED,High School,employed,184379.0,553,robertskevin@example.org,West Xavier,Connecticut,2025-07-27
22,Matthew,Gutierrez,Male,67,single,High School,self employed,144084.0,810,vweiss@example.net,JOHNBURGH,Michigan,19-02-2015
23,Rebekah,Combs,F,77,S,grad,,134621.0,362,joshua54@example.com,Stephensborough,Wisconsin,2022/11/27
24,Barbara,Price,FEMALE,79,MARRIED,High School,Self-employed,165738.0,513,oschneider@example.net,SOUTH DEANNA,Hawaii,2005/02/07
25,Kristine,Torres,FEMALE,42,Married,Graduate,Retired,56311.0,627,qwang@example.com, Pageborough ,Montana,2003-12-05
26,Joshua,Brooks,Female,70,Divorced,High School,,36018.0,502,ashley51@example.org,LAKE STEVEN,Nebraska,2002/08/14
27,Stephen,Rhodes,Female,53,,PhD,self employed,54847.0,560,pollardjustin@example.org,Edwardsview,Montana,27-09-1970
28,Eric,Lopez,FEMALE,46,single,High School,Retired,156835.0,632,wcampbell@example.org,JOELHAVEN,Georgia,2019/06/16
29,Charles,Conner,Female,52,D,high school,employed,127192.0,396,carlos74@example.com,Jeffton,Ohio,1977/01/23
30,Michael,Shelton,male,69,Married,PhD,Self-employed,147959.0,430,ortizjoe@example.org,New Jimmy,Washington,1989-10-01
31,Tiffany,May,Other,62,S,Post Graduate,Self-employed,131254.0,808,nmorales@example.com, Port Michaelton ,Wisconsin,2008-08-04
32,Kathleen,Brooks,Other,69,,grad,,104848.0,837,higginschristina@example.com, Lake Abigailburgh ,Hawaii,2008-10-10
33,Angela,Moore,FEMALE,72,Single,,Self-employed,148122.0,377,caitlin16@example.org,Robertmouth,Rhode Island,12-05-1970
34,Melissa,Garcia,F,44,,,,80842.0,804,ljohnson@example.net,GREENMOUTH,South Carolina,1990-04-01
35,Deborah,Mccarthy,M,37,D,PhD,Retired,192863.0,327,stanleyjenna@example.org,Port Julieville,Hawaii,1986/07/30
36,Jessica,Anderson,FEMALE,36,Divorced,high school,Retired,38617.0,729,bryan40@example.org,NEW KATHERINEFORT,Mississippi,25-08-1977
37,Stacy,Perez,Unknown,41,Single,Doctorate,self employed,31257.0,614,oanderson@example.net,Lake Jacobfurt,Kentucky,02-06-2024
