card_id,customer_id,card_type,card_network,card_number,account_open_date,credit_limit,available_credit,interest_rate,annual_fee,minimum_payment_due,card_status
1,10467,Platinum,Amex,4330881035605217,2010-04-01,6440,4875,18.99,50.0,287,Active
2,5586,,visa,30558232861238,1970-11-13,8192,3968,12.5,99.0,308,Blocked
3,9468,GOLD,Mastercard,2720606788422292,2014-05-30,15401,15089,22.5,0.0,367,Active
4,6612,Platinum,visa,375340453139518,2000-01-19,13125,11569,,50.0,471,Active
5,6840,,,6011015310186939,2013-06-07,13869,8965,22.5,50.0,494,Blocked
6,7521,Platinum,visa,2614450571440404,2009-03-28,18373,18193,15.9,,382,Active
7,10234,GOLD,Amex,5378998506129749,1972-09-27,2013,-410,18.99,99.0,23,active
8,4293,Platinum,Mastercard,375557696868393,1983-01-17,18259,16130,12.5,99.0,373,Blocked
9,9445,silver,visa,3502096165531836,2003-01-04,10345,7880,22.5,,475,Closed
10,7174,silver,,36150091576497,1972-06-25,7037,3329,18.99,0.0,198,Closed
11,1682,,Visa,4766750276272032,1993-10-12,12121,8238,18.99,99.0,105,Active
12,2827,Silver,,3508846066419588,1985-06-22,2126,-1293,12.5,50.0,114,
13,9766,,,4664696166536,2016-09-20,14553,9674,22.5,50.0,145,Active
14,2333,Gold,Visa,3530188795056098,1993-03-01,18138,13790,15.9,,343,Blocked
15,7953,,Mastercard,4968141655944035,1991-01-31,16333,11704,,150.0,435,active
16,7518,GOLD,Mastercard,676394215542,1978-03-19,14830,12771,18.99,,42,active
17,5053,silver,Amex,38566456875877,2002-11-11,14700,10869,22.5,50.0,447,Blocked
18,4324,silver,Visa,30490848699135,1983-05-07,11937,8186,12.5,150.0,441,Active
19,2798,Silver,Visa,4411440665465582,1976-07-17,9226,7762,18.99,,395,Closed
20,2538,silver,Amex,180063121650451,2021-11-04,16774,13430,15.9,99.0,222,Closed
21,8328,GOLD,visa,342747733099058,1970-02-22,8569,8398,12.5,150.0,108,
22,1055,Silver,visa,180042121255677,2002-08-04,19729,18192,,0.0,143,
23,6468,GOLD,Visa,213174639495031,2019-07-28,13431,13103,,99.0,91,Closed
24,8247,,,373174639810250,1989-07-20,6874,6549,,99.0,12,
25,6069,silver,Mastercard,30285217173740,2012-03-20,8080,5738,,50.0,388,active
26,6924,GOLD,Mastercard,3595445675091732,2016-12-14,3798,1154,18.99,0.0,500,Closed
27,982,,Amex,676320721431,1998-12-01,5448,1590,18.99,,349,Closed
28,4823,silver,Mastercard,36784811923199,2003-05-23,19722,14857,22.5,99.0,371,Active
29,2632,GOLD,Amex,4097242479279,1984-06-27,4453,-467,22.5,150.0,112,Blocked
30,1882,silver,Mastercard,4719638422320,1984-10-21,7674,5901,12.5,150.0,79,Active
31,2392,,Visa,213127178648311,1994-09-29,17740,12895,,0.0,11,Closed
32,5718,silver,Amex,4419601620170,1998-10-01,17823,14150,15.9,,44,Active
33,5349,GOLD,,180009319738343,2023-09-18,11701,7532,22.5,50.0,314,
34,5358,Silver,Mastercard,30214108463119,2019-10-12,4612,958,15.9,0.0,131,Active
35,5037,Platinum,Amex,4509744132162275620,2023-02-26,3993,-626,15.9,0.0,314,Blocked
36,9049,Silver,,5322406105707052,1975-07-08,16246,14205,18.99,0.0,108,Active
37,5962,Silver,Amex,502027927487,1986-10-29,12553,12509,18.99,99.0,411,active
38,8833,GOLD,Mastercard,2251536925826435,1989-09-29,14710,10368,18.99,50.0,479,Active
39,2813,,,4623075524695856,1999-06-09,5987,1091,15.9,0.0,28,active
40,3355,silver,Mastercard,5172180822018173,1970-08-31,15296,11890,15.9,99.0,351,
41,9589,silver,Visa,4815392760297943,1978-01-12,5511,4885,12.5,,122,Active
42,1061,silver,,3503477291829550,2020-06-01,13681,18681,15.9,0.0,367,Closed
43,9737,silver,Visa,30086736230593,2012-08-12,19617,17775,22.5,99.0,15,
44,4381,GOLD,visa,3529942988523105,2017-04-15,12335,9608,18.99,99.0,380,Closed
45,2219,Platinum,,4000575315433,1995-12-16,7412,3754,18.99,50.0,409,Active
46,9614,Gold,Mastercard,4973583695669713,2014-05-18,4805,1750,15.9,0.0,180,Closed
47,3758,Silver,Mastercard,4069197790785947,1971-05-04,17012,14351,15.9,150.0,182,Active
48,1520,silver,Amex,5575016332913854,1972-03-24,14019,9963,15.9,50.0,182,Active
49,7675,silver,Visa,2720783533604639,2000-10-29,6422,3682,22.5,99.0,51,Closed
50,9376,Silver,,3505152795271132,1995-12-29,15789,12275,,0.0,353,Active
51,2567,,Amex,3507118366392779,2020-10-03,17219,15735,,0.0,26,Closed
52,3736,,Mastercard,5382843074566886,2021-12-22,9968,9433,12.5,150.0,198,Closed
53,2919,Platinum,Visa,6011418909046474,1975-03-26,13616,12350,,0.0,446,Blocked
54,7619,Gold,Amex,4167213331849240,1997-09-16,12622,9421,15.9,150.0,372,Closed
55,4158,,visa,4835207771960,1980-04-17,16630,14894,12.5,99.0,500,Blocked
56,8186,Platinum,Amex,060434487801,2008-05-01,19725,18053,15.9,150.0,75,active
57,8778,GOLD,Mastercard,38092164202940,1991-05-20,2170,-1490,18.99,150.0,31,Closed
58,8682,Silver,visa,2230965232406902,1993-08-04,14132,12119,22.5,,436,Active
59,7546,Silver,Visa,372243297083178,2019-12-02,14943,14102,,150.0,351,
60,8097,,Visa,4791149580707776,2004-07-04,15213,12128,15.9,0.0,320,active
61,2195,Silver,,5364422390524002,2002-07-04,11746,8823,12.5,99.0,431,Blocked
62,2580,Gold,Amex,5322924243159044,1975-01-06,14523,9738,,50.0,74,Closed
63,7055,Silver,,4588182949366627,1973-03-14,6002,1199,22.5,99.0,329,
64,3226,Gold,,4061853771352499,2013-01-19,10407,5968,18.99,0.0,122,
65,1399,Platinum,Amex,4343203244212369,1993-06-05,6341,1528,12.5,150.0,117,active
66,44,GOLD,Mastercard,341857809219091,1991-10-19,12232,9155,18.99,150.0,234,Closed
67,10462,,Amex,2252311944402033,1982-10-16,10649,7192,22.5,99.0,66,Blocked
68,3546,Gold,,630428263903,2008-04-21,12592,10801,,50.0,77,Closed
69,9245,GOLD,Amex,3557139099896547,2017-09-11,10390,6632,12.5,,434,Closed
70,5687,Platinum,visa,2261556173139909,1973-12-10,17600,14190,12.5,99.0,498,active
71,9642,silver,visa,4093817361395277,1982-10-12,17654,16521,12.5,150.0,120,active
72,690,GOLD,visa,213181306460826,1981-02-18,9254,8124,15.9,99.0,318,Closed
73,611,Silver,Visa,6011556159398903,1985-01-28,7588,6182,18.99,150.0,382,active
74,5549,GOLD,visa,6544318306972551,1974-04-21,17122,16035,,,243,Blocked
75,1277,silver,Amex,3503080785848183,1989-09-02,13417,10653,12.5,0.0,347,Closed
76,9457,,Amex,4358643313623677,2021-03-21,14143,10096,,50.0,493,active
77,2046,Platinum,Visa,4378213795201470626,1996-10-01,3258,465,18.99,150.0,14,Blocked
78,2137,Silver,Amex,3502360542061796,1997-08-24,6816,5959,12.5,,485,active
79,9571,silver,Visa,6011964284884351,1978-08-09,16020,11295,,99.0,131,active
80,7812,Silver,Amex,213127506619034,1971-09-17,9935,9493,18.99,50.0,317,Closed
81,265,Silver,Mastercard,4109238085869,2012-03-07,9879,4977,,150.0,211,Closed
82,6657,,Amex,4267646850575705,1980-11-21,12978,11661,12.5,,159,Closed
83,3089,Gold,Visa,6011581840694395,2011-02-26,19729,15733,22.5,99.0,334,active
84,4273,Platinum,visa,4206976674068,1993-04-24,18052,13602,15.9,,160,Closed
85,3271,Silver,Visa,344483568361623,2025-04-29,17924,15666,15.9,0.0,293,Closed
86,6587,Gold,visa,3580682153628307,2024-12-04,12952,10661,22.5,0.0,391,Blocked
87,7069,Gold,Mastercard,579103971647,1995-12-19,10752,6015,,50.0,127,
88,1418,,Amex,4422442526734732,2010-09-28,4092,146,,150.0,55,Blocked
89,4517,Platinum,visa,180090841595526,1982-05-24,14174,12420,12.5,50.0,213,active
90,6478,Platinum,visa,6011033953207755,1986-07-03,6360,3137,18.99,50.0,114,Closed
91,6944,GOLD,visa,373020228333925,1995-02-20,16531,16075,22.5,,69,Active
92,2145,silver,,4626586152918839,1987-04-23,5956,1570,18.99,99.0,270,
93,7132,silver,Mastercard,4383691962090697,2020-06-05,8152,7991,18.99,,120,Active
94,7912,,visa,2654110295126868,1978-03-22,5960,4956,12.5,0.0,118,Active
95,1448,silver,Amex,4758172347189188,1994-01-27,15718,15244,,,285,active
96,10074,Silver,,3548153472533470,2000-09-20,3989,-105,22.5,0.0,63,Active
97,9274,Gold,visa,30477104986488,2014-12-21,10025,7421,22.5,0.0,23,Closed
98,10400,,,347306595689863,1997-08-07,4902,3379,15.9,,404,
99,8334,Platinum,visa,4616079382171760090,2005-06-16,19232,18924,15.9,0.0,499,active
100,1137,silver,Mastercard,3541800823725539,1977-06-05,17794,15941,15.9,99.0,145,active
101,819,Gold,,180027695523923,1981-10-17,15137,10519,12.5,150.0,130,
102,4730,GOLD,Mastercard,4346930009512,1984-01-27,8822,3856,,50.0,276,Active
103,10217,Silver,Amex,4198748091676212487,2025-10-16,16399,11994,,50.0,77,
104,4626,GOLD,Mastercard,6528143800394080,1973-08-13,7097,4815,22.5,0.0,88,Active
105,271,silver,Mastercard,2227755102814235,2016-02-04,9784,14784,15.9,,386,
106,9397,,Amex,6596223796975089,1984-11-16,13893,10474,15.9,0.0,116,Closed
107,765,Silver,Visa,3571332815383344,1976-07-28,12641,11430,,,307,Blocked
108,3652,Silver,Visa,3517904041715189,2001-10-29,2212,-1271,12.5,150.0,257,active
109,6207,Gold,,4419341183012280,1982-02-06,3572,-259,18.99,99.0,29,Active
